column_id	line_number	text
header		[14]
single	1	<b>अळोप</b>(alop)adj.E.Elopement;hidden;missing. भूमिगत, गुम
single	2	<b>अवज्जौ</b>(awajho)adj.Odd;inconvenient. असुविधाजनक
single	3	<b>अवाको</b>(awaako)nm:Rumour;unverified report. प्रवाद,लोकवाद
single	4	<b>अवाज</b>(awaaj)nf:Sound;voice;cry;speech. Loj, आवाज
single	5	<b>अवाड़ो</b>(awaarho)nm:Spark;flicker;glint. चिंगारी
single	6	<b>अवाड़ी</b>(awaarhi)nf:Yawning due to tiredness.उबासी,जँभाई
single	7	<b>अवाणा</b>(awaana)A sub caste of Gujjars. गुर्जरों की एक उपजाति, अवाना
single	8	<b>अवाम</b>(awam)n:People;public;folks;society. जनता, समाज
single	9	<b>अवारा</b>(awaara)P.adj.Vagrant;vagabond;wanderer;loafer. आवारा
single	10	<b>अवाँसी</b>(awansi)nf:Yawning;gape. उबासी, जंभाई
single	11	<b>अशक़ात</b>(ashkaat)A.nf:Deliverence,salvation. ज़मानत, छुटकारा,मुक्ति
single	12	<b>अशनाक</b>(ashNaak). P rudent;sensitive;delicate.सुकुमार,संवेदनशील
single	13	<b>अशमाण</b>(ashmaan)n:Sky;heaven;vault;highest limit. आकाश
single	14	<b>अशरफ</b>(ashraf)adj.Most superior;the best. उत्तम,उच्च, मुख्य
single	15	<b>अशराफ</b>(ashraaf)A.adj.Gentle;genteel.लालित,शिशट
single	16	<b>असतंजो</b>(astanjo)Cleansing;purification.माँझना, शोधना,पखारना
single	17	<b>असतर</b>(astar)P.1.Inner lining of a garment. कोट की भीतरी परत
single	18	<b>अस्तीफ़ो</b> (asteefo)Resignation letter. त्यागपत्र
single	19	<b>असपताळ</b>(asptaal)n:Hospital;health centre;clinic. चिकित्सालय
single	20	<b>असमतर</b>(asmatar) Like us.cf qsmqr Like you. हम जैसा
single	21	<b>असमाण</b>(asmaan)nm:Sky;heaven;vault. आकाश,नभ,स्वर्ग
single	22	<b>असमाणूं</b>(asmaanu)From sky or heavens;from above. आकाश से
single	23	<b>असमाणी</b>(asmaani)adj.Skyblue;azure. नीला, नभोनील
single	24	<b>असर</b>(asar)nm.Effect;influence;impression;reaction. प्रभाव
single	25	<b>असल</b>(asaL)A.n.Origion;root;reality;pure;true. सत्य,यथार्थ, मूल
single	26	<b>असलियत</b>(asliyat)nf:Reality;truth;fact.सत्यता,यथार्थ
single	27	<b>असली</b>(asLi)A.adj.Origional;real;genuine;true. मूलपत्र, वासतव
single	28	<b>असलूं</b>(asLu~)adv.Origionally;basically. अधिकाँश, मूल रूप से
single	29	<b>असान</b>(asaaN)adj.Easy;simple;facile. सरल, सुगम, सहज
