column_id	line_number	text
header		भस्म ( 552 ) भाग
left	1	<b>भविल (ल:)</b> 1. <i>m.</i> A catamite. <i>a.</i>
left	2	Being, existing, what is to be.
left	3	<b>भविष्पु(ष्णुः-ष्णूः-ष्णु)</b> <i>a.</i> Actually being
left	4	or disposed to be, being well.
left	5	<b>भविष्य (ष्यः-ष्या-ष्यं)</b> <i>a.</i> Future.
left	6	<b>भविष्यत् (ष्यन्-ष्यन्ती-ष्यत् )</b> <i>a. Idem</i>.
left	7	<b>भव्य(व्यः-व्या-व्यं)</b> <i>a.</i> Happy ; fit ; true ;
left	8	what is to be ; a being. <i>m. Ka-</i>
left	9	<i>maranga</i> fruit. <i>f. Durgá ;</i> pep-
left	10	per. <i>n.</i> Bone ; fruit ; being.
left	11	<b>भशिरा (रा)</b> 1. <i>f.</i> A sort of beet.
left	12	<b>भष् भषति</b> 1. <i>a.</i> To bark; to rail at.
left	13	<b>भष (षः)</b> 1. <i>m.</i> A dog. <i>f.</i> (<b>षी</b>) Bitch.
left	14	<b>भषक (कः)</b> 1. <i>m.</i> A dog.
left	15	<b>भषण (णं)</b> 1. <i>n.</i> Barking.
left	16	<b>भषत्(त्)</b> 5. <i>m.</i> Heart; thigh; wood.
left	17	<b>भस् (लि) वभस्ति</b> 3. <i>a.</i> To shine ; to
left	18	blame (peculiar to the <i>Védas</i>).
left	19	<b>भसट् (त्)</b> 5. <i>f.</i> The sun ; mons ve-
left	20	neris ; time ; a duck ; a raft.
left	21	<b>भसन (नः)</b> 1. <i>m.</i> A large bee.
left	22	<b>भसन्त (न्तः)</b> 1. <i>m.</i> Time.
left	23	<b>भसित (तं)</b> 1. <i>n.</i> Ashes.
left	24	<b>भ.सूचक (कः)</b> 1. <i>m.</i> An astronomer.
left	25	<b>भस्त्रका (का)</b> 1. <i>f.</i> Bellows.
left	26	<b>भस्त्रा (स्त्रा)</b> 1. <i>f.</i> Idem.
left	27	<b>भस्त्राका (का)</b> 1. <i>f.</i> Idem.
left	28	<b>भस्तिक (कः-की)</b> 1. <i>m.</i> 3. <i>f.</i> A bel-
left	29	lows blower. <i>m.</i> Inflated skin for
left	30	floating rafts. <i>f.</i> (<b>का</b>) Bellows.
left	31	<b>भस्त्री (स्त्री)</b> 3. <i>f.</i> Bellows.
left	32	<b>भस्मक (कं)</b> 1. <i>m.</i> A disease of the eyes ;
left	33	morbid appetite with wasting
left	34	away ; plant <i>bireng</i> ; gold.
left	35	<b>भस्म.कार (रः)</b> 1. <i>m.</i> A washerman.
left	36	<b>भस्म.गन्धिका (का)</b> 1. <i>f.</i> A perfume.
left	37	<b>भस्म.गर्भा (र्भा)</b> 1. <i>f.</i> The <i>Sisu</i> tree,
left	38	or a variety of it ; a perfume.
right	1	<b>भस्म.तूल (लं)</b> 1. <i>n.</i> Many villages ;
right	2	shower of dust ; frost or snow.
right	3	<b>भस्मन् (स्म)</b> 5. <i>m.</i> Ashes.
right	4	<b>भस्म.वेधक (कः)</b> 1. <i>m.</i> Camphor.
right	5	<b>भस्म.सात्</b> <i>adv.</i> Reduced to ashes.
right	6	<b>भस्माक्षय (यः)</b> 1. <i>m.</i> Camphor.
right	7	<b>भस्मी.करण(णं)</b> 1. <i>n.</i> Reducing to ash.
right	8	<b>भस्मी.कृत (तः-ता-तं)</b> <i>a.</i> Reduced to
right	9	ashes ; calcined as a metal.
right	10	<b>भस्मी.भूत (तः-ता-तं)</b> <i>a.</i> Idem.
right	11	<b>भा (ल) भाति</b> 2. <i>m.</i> To shine ; to be
right	12	beautiful ; to be pleased ; to
right	13	blow ; to be. With <b>आ</b> to flash ;
right	14	with <b>प्र</b> or <b>वि</b> to shine brightly.
right	15	<b>भा(भा)</b> 1. <i>f.</i> Light ; beauty ; shadow
right	16	of a gnomon. <i>m.</i> The sun.
right	17	<b>भाकूट(टः)</b> 1. <i>m.</i> A mountain of <i>Hi-</i>
right	18	<i>málaya</i> ; a sort of fish.
right	19	<b>भा.कोष (षः)</b> 1. <i>m.</i> The sun.
right	20	<b>भाक्त (क्तः)</b> 1. <i>m.</i> A follower, a de-
right	21	pendant ; a cheat ; grain, rice.
right	22	<b>भाक्तिक (कः)</b> 1. <i>m.</i> One who is fed
right	23	by another, dependant.
right	24	<b>भाग (गः)</b> 1. <i>m.</i> A fortune.
right	25	<b>भागक (कः-का-कं)</b> <i>a.</i> Dividing ; the
right	26	divisor or what divides.
right	27	<b>भाग.जाति (तिः)</b> 2. <i>m.</i> Assimilation
right	28	of fractions.
right	29	<b>भाग.धेय(यः)</b> 1. <i>m.</i> An heir, co-heir ;
right	30	royal revenue. <i>n.</i> Fate.
right	31	<b>भागन(नं)</b> 1. <i>n.</i> The period of the sun's
right	32	going through the zodiac ; cir-
right	33	cumference of a great circle.
right	34	<b>भाग.शस्</b> <i>adv.</i> By parts.
right	35	<b>भाग.हर (रः-रा-रं)</b> <i>a.</i> Taking a part.
right	36	<i>m.</i> A co-heir ; division.
right	37	<b>भागार्थिन् (र्थी-र्थिणी-र्थि)</b> <i>a.</i> Desirous
right	38	of a part or share.
