column_id	line_number	text
header		ܝܝܕ
header		32
header		ܐܝܙܓܕܐ
left	1	<b>ܐܝܼܙܓܲܕܵܐ</b> [cs.] m. A messenger, (—<b>ܐܵܬܹ̈ܐ</b>) <b>ܐܝܼܙܓܲܕܹ̈ܐ</b>
left	2	an ambassador. Comp. p. اسکند.
left	3	<b>ܐܝܼܙܲܠ</b> Mt. <i>v. n.</i> Spinning. See <b>ܥܸܙܵܠܵܐ</b>.
left	4	<b>ܐܝܼܙܲܠ</b> Mt. <i>v. n.</i> Going. See <b>ܐܵܙܸܠ</b>.
left	5	<b>ܐܝܼܙܲܠ</b> Mt. <i>n.</i> Going. See <b>ܐܵܙܸܠ</b>.
left	6	<b>ܐܝܼܟܸܙܡܵܐ</b> <i>f.</i> Eczema; a kind of herb.
left	7	<b>ܐܝܼܟ̰</b> [A. ايضاً] <i>adj.</i> Exact, same.
left	8	<b>ܐܝܼܕܵܦܵܐ</b> [A. اضافه] <i>f.</i> Interest on
left	9	money; increase.
left	10	<b>ܐܝܼܚܝܼܕܵܝܵܐ</b> (—<b>ܐܵܐ</b>) A single person; a
left	11	monk. <b>ܒܪܘܿܢܵܐ ܐܝܼܚܝܼܕܵܝܵܐ</b> ‘only son’.
left	12	See <b>ܝܼܚܝܼܕܵܝܵܐ</b>.
left	13	<b>ܐܝܼܛܵܐ</b> [G. εἶτα] <i>adv.</i> Then, afterwards;
left	14	(commonly written <b>ܐܝܼܬܵܐ</b>).
left	15	<b>ܐܝܼܛܝܼܡܘܿܠܘܿܓܼܝܼܵܐ</b> (—<b>ܝܼܵܐ</b>) [G. ἐτυμολογία]
left	16	<i>f.</i> Etymology.
left	17	<b>ܐܝܼܛܝܼܡܘܿܠܘܿܓܼܝܼܵܐܝܼܬ</b> <i>adv.</i> Etymolo-
left	18	gically.
left	19	<b>ܐܝܼܛܝܼܡܘܿܠܘܿܓܼܝܼܣܛܵܐ</b> (—<b>ܐܵܐ</b>) <i>adj. m.</i> Ety-
left	20	mologist.
left	21	<b>ܐܝܼܢܵܐ ܗܵܕܹܐ</b> Mt. <i>ant. adv.</i> Now, this time.
left	22	See <b>ܐܵܕܝܼܵܐ</b>.
left	23	<b>ܐܝܼܢܵܐ ܗ̇ܝ</b> Mt. <i>ant. adv.</i> = <b>ܗ̇ܝ ܐܝܼܢܵܐ</b>
left	24	Then, that time.
left	25	<b>ܐܝܼܛܵܠܝܵܝܵܐ</b> (—<b>ܐܵܐ</b>) <i>adj. m.</i> An Italian.
left	26	<i>f.</i> <b>ܐܝܼܛܵܠܝܵܝܬܵܐ</b>.
left	27	<b>ܐܲܝܼܢܝܼ</b>, <b>ܐܸܢܝܼ</b> Mt. <i>pron. f.</i> She. See <b>ܐܲܝܼܢ</b>.
left	28	<b>ܐܲܝܼܢܵܐ</b> Mt. same as <b>ܐܲܢܵܐ</b>, A furrow.
right	1	<b>ܐܲܝܼܢܵܒܲܢܕ</b> [P. آيينه بند] <i>adj.</i> <b>ܐܲܝܼܢܵܐܒܲܢܕ</b>, <b>ܐܲܝܢܵܐܒܲܢܕ</b>
right	2	<i>indecl.</i> A room or suite of rooms
right	3	lined with mirrors and other glitter-
right	4	ing surfaces; a window which is
right	5	partly made of mirrors or glass;
right	6	(written also <b>ܐܲܝܢܹܐܒܲܢܕ</b>).
right	7	<b>ܐܲܝܟܼ</b> <i>prep.</i> Like, as, about, nearly;
right	8	according to. Var. <b>ܗܲܝܟܼܘܿܬ</b>, <b>ܡܲܐܝܟܼ</b>.
right	9	<b>ܐܲܝܟܵܐ</b> [cs.] <i>adv.</i> Where? whither? It is
right	10	also pronounced <b>ܐܲܝܟܼܵܐ</b>, colloq. <b>ܟܵܐ</b>,
right	11	<b>ܐܸܟܵܐ</b>, <b>ܐܲܟܵܐ</b>, Lidz. S. S. 118. 5. Duval,
right	12	Sal. 54. 18.
right	13	<b>ܐܲܝܟܵܐܝܼܬ</b> Whereabouts, (from <b>ܐܲܝܟܵܐ</b>).
right	14	<b>ܐܲܝܟܼܵܠܵܐ</b> <i>v. n.</i> Eating, Lidz. S. S. 101. 2.
right	15	See <b>ܐܵܟܼܸܠ</b>.
right	16	<b>ܐܲܝܟܼܵܠܬܵܐ</b> Victuals used in the house of
right	17	the bride during the wedding,
right	18	which are usually paid for by the
right	19	bride-groom.
right	20	<b>ܐܲܝܟܼܠܵܐ</b> <i>n.</i> Eating. See <b>ܐܲܝܟܼܵܠܵܐ</b>.
right	21	<b>ܐܲܝܟܼܢܵܝܘܼܬܵܐ</b> [cs.] Condition, situation;
right	22	quality.
right	23	<b>ܐܲܝܼܠܵܐܓ̰ܵܐܦܵܐ</b> [T. آیوکفتنه‌س] <i>lit.</i> the bear’s
right	24	<b>ܐܲܝܼܠܵܐܓ̰ܵܐ</b> A small kind of <b>ܟܲܕ݂ܘܼܬܵܐ</b>.
right	25	<b>ܐܸܡܲܢ ܗܵܕܹܐ</b>, <b>ܐܸܡܲܢ ܗ̇ܝ</b> Mt. <i>ant. adv.</i> Then,
right	26	that time. See <b>ܐܲܝܡܲܢ</b>.
right	27	<b>ܐܝܼܠ</b> God.
