column_id	line_number	text
header		EL ( 68 ) ES
left	1	<b>E'cot</b> بکوت trace, follow, accompany,
left	2	walk after
left	3	<b>E'dam</b> يدم lechery, luxury, venery,
left	4	lasciviousness
left	5	<b>E'den</b> ادن earthly Paradise
left	6	<b>E'dong</b> يدوغ the nose, snout
left	7	—— <b>bátang</b> يدوغ باتغ a crooked nose
left	8	—— <b>képee</b> يدوغ قيپي flat nosed
left	9	—— <b>manchong</b> يدوغ منچوغ a long
left	10	sharp nose
left	11	<b>E'dop</b> يدوپ to live, alive
left	12	—— <b>dung'an fantóza</b> يدوپ دغن
left	13	سنتوزه live at rest
left	14	—— <b>láma</b> يدوپ لامه live long
left	15	—— <b>cácal</b> يدوپ کاکل live for ever
left	16	—— <b>poola</b> يدوپ پوله live again, re-
left	17	vive
left	18	<b>E'dopawn</b> يدوپان life
left	19	—— <b>moo</b> يدوپان مو your life
left	20	<b>E'dopcan</b> يدوپکن to make live, alive
left	21	<b>E'jew</b> يجو green
left	22	—— <b>mooda</b> يجو موده pale green
left	23	—— <b>tooa</b> يجو توه deep green
left	24	<b>E'kal</b> يقل curled, crisped
left	25	A <b>Elbábat</b> البابت a pope
left	26	A <b>Elcátif</b> القاتف a carpet
left	27	A <b>Elkálam</b> القلم theology
left	28	A <b>Elmoo</b> علمو art, science
left	29	—— <b>elhookoom</b> علم الحکم the law
left	30	—— <b>nájam</b> علم الناجم the art of
left	31	astrology
left	32	<b>E'lok</b> يلوق handsome, fashionable,
left	33	neat
left	34	<b>E'long</b> يلوغ to lose, lost, to decay in
left	35	quantity
right	1	<b>E'long attee</b> يلوغ اتي to lose courage,
right	2	to be daunted, discouraged
right	3	—— <b>mábooc</b> يلوغ مابوک to grow so-
right	4	ber from drunkenness
right	5	<b>E'longgan</b> يلوغݣن a loss
right	6	<b>Empus</b> امپس a plough
right	7	<b>E'nak</b> ينق delightful, pleasant to the
right	8	feeling, tickling of venery
right	9	<b>E'nee</b> يني this, these
right	10	—— <b>jooga</b> يني جوݣه this same
right	11	—— <b>ía</b> يني لع this is, the same, these,
right	12	these which, that is, it is
right	13	—— <b>poon téda étoo poon téda</b> يني
right	14	پون تيده يتو پون تيده not this,
right	15	nor that
right	16	<b>E'níak</b> ينياق to tread, stamp, trample
right	17	on, tread out (as corn), to spurn
right	18	<b>Enkooee</b> انقوي a surety, to be surety
right	19	<b>En'yai</b> انيي mistress, madam
right	20	<b>E'ny'ak</b> ينياق see <b>E'níak</b>
right	21	<b>E'rong</b> يروغ a drinking cup
right	22	<b>E'root</b> يروت wry, awry, askew, bent,
right	23	crooked, warped
right	24	<b>E'rootcan</b> يروتکن to make wry, &c.
right	25	see <b>E'root</b>
right	26	<b>E'sa</b> يسي Jesus
right	27	<b>Efcretore</b> اسکريتور a cabinet
right	28	<b>E'sook</b> يسوق to-morrow
right	29	—— <b>págee arree</b> يسوق پاݣي اري
right	30	to-morrow morning
right	31	<b>E'sooknea</b> يسوقنيه the next day, the
right	32	morrow after—Pada <b>ésooknea</b> پده
right	33	يسوقنيه on the morrow after
right	34	<b>E'soonea</b> يسونيه see <b>E'sooknea</b>
right	35	<b>Estéádat</b> استيادت tradition, manner,
right	36	custom
