column_id	line_number	text
header		AGR 16
single	1	¶ <b>𒀀𒂵𒊑𒅔</b><!-- a-ga-ri-in -->, agarin. <b>MOTHER.</b>
single	2	<b>𒁹 𒀀𒂵𒊑𒅔 . # . 𒌝𒈬</b><!--  diš a-ga-ri-in . # . um-mu -->.—Syl. 192.
single	3	In another copy <b>#</b><!-- # -->.
single	4	This singular word is found in the following passage:
single	5	<b>𒄿𒈾 𒈜 𒅁𒁀 𒀀𒂵𒊑𒅔𒉌</b><!-- i-na lib ib-ba a-ga-ri-in-ni -->
single	6	<b>𒀀𒀖𒋾𒅀</b><!-- a-ab2-ti-ia -->, ina lib ibba agarinni alatti-ya ; <i>in the fair body</i>
single	7	<i>of the mother who bore me.</i>—38 BM 3.
single	8	¶ <b>𒀀𒃵𒊑, 𒀀𒄖𒌫𒊑, 𒀀𒄥𒊑</b><!-- a-gam-ri, a-gu-ur2-ri, a-gur-ri -->, aguri,
single	9	agurri, ob. <b>BURNT BRICK.</b>
single	10	-i-na a-gam-ri ar-zi
single	11	var. -ar-zip-
single	12	<b>𒄿𒈾 𒀀𒃵𒊑 𒅈𒍢𒅁</b><!-- i-na a-gam-ri -ar-ze2-ip -->, var. <b>𒅈𒍦</b><!-- ar-zip -->,
single	13	ina aguri arẓip ; <i>in brick I built.</i>—Tig. viii. 6.
single	14	<b>𒊭 𒄿𒈾 𒀀𒃵𒊑 𒊏𒀾𒁍</b><!-- ša i-na a-gam-ri ra-aš2-pu  -->, sa ina aguri raspu ;
single	15	<i>which of brick were built.</i>—Tig. vi. 11. See also vi. 19, &c.
single	16	<b>𒀀𒄖𒌫𒊑</b><!-- a-gu-ur2-ri -->.—E.I.H. iv. 12 ; vi. 51. Birs ii. 3.
single	17	<b>𒀀𒄥𒊑 </b><!-- a-gur-ri -->.—Birs i. 25. E.I.H. iii. 16, 69. Porter’s transcript
single	18	of vi. 51.
single	19	Agurri differs from liban, which is <i>sun-dried</i> only.
single	20	<b>𒀀𒄥𒊑𒐁 </b><!-- -a-gur-ri-eš -->, aguris ; <i>made of brick.</i> <b>𒈠𒆷𒀝 </b><!-- ma-la-ak- -->
single	21	<b>𒂍 𒀀𒄥𒊑𒐁  𒈠𒊑𒂊  𒌑𒁀𒀭𒉏</b><!-- bit -a-gur-ri-eš  ma-re-e ... u2-ba-an-nim -->,
single	22	malak bit aguris mare . . . . . ubannū ; <i>avenue of house in brick,</i>
single	23	<i>conspicuous . . . . . I built.</i>—E.I.H. iii. 56. Porter’s transcript is
single	24	<b>𒀀𒄥𒊑𒐁</b><!-- a-gur-ri-eš -->, agurris ; he has also <b>𒈠𒆷𒆪</b><!-- ma-la-ku --> instead of
single	25	malak. See Ezek. xlii. 4 ; in Septuagint <i>περίπατος.</i>
single	26	¶ <b> 𒀀𒃼𒌅, 𒀀𒃼𒋾</b><!-- a-gar3-tu-, a-gar3-ti -->, agartu, agarti ; <b>VALUABLE.</b> Heb. <b>אָגוֹרָה</b>,
single	27	<i>a piece of silver,</i> 1 Sam. ii. 36. Dr. Oppert suggests <b>יָקָר</b>, which is better.
single	28	<b>𒌑𒉡𒌅 𒆬𒄀 𒆬 𒌓 𒀀𒃼𒌅</b><!-- u2-nu-tu ku3-gi ku3 ud a-gar3-tu -->
single	29	<b>𒎏𒋳𒋙</b><!-- nin-tag-šu2 -->, hunutu, ḥuraz, kaspu, agartu, nintaksu ; <i>wealth, gold, silver,</i>
single	30	<i>valuables, furniture.</i>—Sen. T. i. 28.
