column_id	line_number	text
left	1	<b>аваскӣ</b> 1) <i>П-Т</i> в каку́ю сто́ро-
left	2	ну?; куда́?; 2) <i>Н</i> в любо́е ме́сто
left	3	(отсю́да) (<i>противоп.</i> <b>эвэскӣ</b> сю-
left	4	да́, в э́то ме́сто).
left	5	[<i>Нег, Эвен</i> <b>аваски,</b> <i>Орок</i> <b>ха-
left	6	васаи,</b> <i>Ульч</i> <b>хаваси,</b> <i>Нан</i> <b>хаоси</b>
left	7	куда́].
left	8	<b>авахӣ</b> <i>З, Хнг, Учр, Урм, Сх,</i>
left	9	<i>Чмк</i> 1) враг; <i>см.</i> <b>булэн</b> I; 2) чёрт;
left	10	<i>см.</i> <b>харги</b> I.
left	11	[<i>Як</i> <b>абааһы</b> чёрт, дья́вол].
left	12	<b>авачӣ</b> <i>Брг</i> (<i>по суеверным пред-</i>
left	13	<i>ставлениям</i>) дух-хозя́ин ле́са;
left	14	<i>см.</i> <b>а̄гитка̄</b>.
left	15	<b>аввӯ</b> <i>Ткм, С-Б</i> кото́рый; <i>см.</i>
left	16	<b>авгӯ</b> 1.
left	17	<b>авга-мӣ</b> <i>П-Т, Н, С-Б, З, Алд,</i>
left	18	<i>Учр</i> 1) срасти́сь (<i>о костях</i>); за-
left	19	жи́ть (<i>о ране</i>); 2) попра́виться.
left	20	<i>Ср.</i> <b>абга-мӣ</b>.
left	21	<b>авгавӯ</b> <i>Урм, Сх</i>, <b>авгагӯ</b> <i>Чмк</i>
left	22	кото́рый; <i>см.</i> <b>авгӯ</b>.
left	23	<b>авгани-мӣ</b> <i>Урм</i> пожелте́ть, за-
left	24	вя́нуть; <i>см.</i> <b>авгун-мӣ</b>.
left	25	<b>авганича̄</b> <i>Урм</i> 1. пожелте́вшая
left	26	трава́; 2. увя́дший (<i>о траве, лист-</i>
left	27	<i>ве</i>); <i>см.</i> <b>авгунча̄</b>.
left	28	<b>авгара̄</b> <i>П-Т, Н, Е, И, Бнт,</i>
left	29	<i>Брг, Тнг, З, Алд, Учр, Урм, Чмк,</i>
left	30	<i>Сх</i> 1. здоро́вье; 2. здоро́вый.
left	31	<i>Ср.</i> <b>абгара̄</b>.
left	32	[<i>Сол</i> <b>авгар, аггар,</b> <i>Эвен</i> <b>абгар</b>
left	33	здоро́вый].
left	34	<b>авгара̄-мӣ</b> (<i>3 л.</i> <b>авгара̄рэн</b>)
left	35	<i>П-Т, Н, Е, И, Бнт, Брг, С-Б,</i>
left	36	<i>Тнг, З, Алд, Учр, Урм, Чмк</i> 1)
left	37	попра́виться, вы́здороветь, вы́ле-
left	38	читься; 2) зажи́ть (<i>о ране</i>); 3) <i>П-Т</i>
left	39	лечи́ть; <i>см.</i> <b>айт-мӣ</b> I.
left	40	<b>авгара̄в-мӣ</b> <i>П-Т, Н,</i> <b>авгара̄н-</b>
left	41	<b>му-мӣ</b> быть вы́леченным.
left	42	<b>авгара̄т</b> <i>П-Т</i>: <b>авгара̄т бикэл!,</b>
left	43	<b>авгара̄т бидекэл!</b> будь здоро́в!,
left	44	проща́й! (<i>букв.</i> здоро́во живи́). <i>Ср.</i>
left	45	<b>абгара̄т</b>.
left	46	<b>авгискӣта̄нэ</b> <i>П-Т, Н, Тнг, З,</i>
left	47	<i>Учр, Урм</i> в ра́зных места́х; в
left	48	ра́зные места́; по ра́зным места́м;
left	49	<b>орочӣл бригадал авгискӣта̄нэ</b>
left	50	<b>нулгиктэдечэ̄л</b> брига́ды олене-
left	51	во́дов кочева́ли по ра́зным места́м.
left	52	<b>авгит</b> 1) <i>П-Т, Н, И, З, Учр,</i>
right	1	<i>Сх</i> отку́да; <b>авгит эдындерэн</b>
